activation	batch_size	checkpoint_path	cv_key	depth	dropout	epoch	feature_names	gamma_mel	h10	h4	h5	h7	h8	h9	height	input_time_len_list	learning_rate	max_epochs	max_noise	model	momentum	no_save_ckpt	norm_type	optimizer	step_save_summaries	tag_label	target_height	train_acc	train_batch_result_filename	train_dir	train_loss	unique_key	username	val_set_number	valid_acc	valid_f1	valid_loss	width	bn_layers	extra_1x1_conv	focal_loss_gamma_list	l2_loss_scale	loss1_weight	loss_reduce_max_index
swish	32.0		a88460	13.0	0.30000000000000004	991.0	['mfcc', 'melspectrogram', 'rmse']	0.74	1.0	64.0	0.5	32.0	0.5	8.0	8.0	1024.0	0.0001	1000.0	0.87	CNN	0.97	0.0	0.0	adadelta	10.0	experiment	8.0	0.5473698079586029	./log/batch_log/result_experiment.txt	train_dir	1.7773629426956177	a9245d	user	1.0	0.5455172657966614	0.06691682301438401	1.3496534824371338	1600.0						
swish	64.0		ff9430	13.0	0.5	980.0	['mfcc', 'melspectrogram', 'rmse']	0.18	1.0	8.0	1.0	8.0	2.0	8.0	8.0	1024.0	0.001	1000.0	0.51	CNN	0.99	0.0	2.0	rmsprop	10.0	experiment	8.0	0.9159482717514038	./log/batch_log/result_experiment.txt	train_dir	0.623799741268158	f7a2de	user	1.0	0.9113793373107908	0.5807160638181079	0.6293678879737854	1600.0						
relu6	16.0		89701b	13.0	0.6000000000000001	453.0	['mfcc', 'melspectrogram', 'rmse']	0.49	2.0	8.0	0.5	8.0	0.5	16.0	8.0	1024.0	0.001	1000.0	0.32	CNN	0.9	0.0	3.0	adadelta	10.0	experiment	8.0	0.6979010254144669	./log/batch_log/result_experiment.txt	train_dir	0.6979523003101349	2b942b	user	1.0	0.7199358940124512	0.1965367954445197	0.6968991756439209	1600.0						
swish	8.0		fc352f	13.0	0.7000000000000002	257.0	['mfcc', 'melspectrogram', 'rmse']	0.53	2.0	8.0	0.5	16.0	0.5	8.0	8.0	1024.0	0.001	1000.0	0.53	CNN	0.95	0.0	1.0	adadelta	10.0	experiment	8.0	0.5339062437415123	./log/batch_log/result_experiment.txt	train_dir	0.693949319422245	053a19	user	1.0	0.6420729011297226	0.28557864842153996	0.6938951909542084	1600.0						
relu6	16.0		6158e2	13.0	0.6000000000000001	38.0	['mfcc', 'melspectrogram', 'rmse']	0.5	1.0	64.0	0.5	32.0	0.5	16.0	8.0	1024.0	0.0001	1000.0	0.93	CNN	0.97	0.0	2.0	rmsprop	10.0	experiment	8.0	0.7692395895719528	./log/batch_log/result_experiment.txt	train_dir	0.6922204196453094	25dd59	user	1.0	0.8035095930099487	0.3177658163223342	0.6917166709899902	1600.0						
swish	8.0		bdeb7d	13.0	0.5	999.0	['mfcc', 'melspectrogram', 'rmse']	0.82	0.5	32.0	1.0	32.0	2.0	64.0	8.0	1024.0	0.001	1000.0	0.81	CNN	0.97	0.0	1.0	nesterov	10.0	experiment	8.0	0.9104166626930236	./log/batch_log/result_experiment.txt	train_dir	0.6304576024413109	0de166	user	1.0	0.910281240940094	0.789332228246443	0.6595990210771561	1600.0						
swish	16.0		6ca7e1	13.0	0.8	295.0	['mfcc', 'melspectrogram', 'rmse']	0.44	0.5	32.0	1.0	16.0	0.5	32.0	8.0	1024.0	0.01	1000.0	0.49	CNN	0.99	0.0	3.0	adam	10.0	experiment	8.0	0.8985781222581863	./log/batch_log/result_experiment.txt	train_dir	0.6288691163063049	47c1ab	user	1.0	0.8951241970062256	0.31343005952380953	0.6400104761123657	1600.0						
relu6	64.0		2bdb98	13.0	0.5	131.0	['mfcc', 'melspectrogram', 'rmse']	0.54	1.0	64.0	0.5	64.0	2.0	32.0	8.0	1024.0	0.0001	1000.0	0.42	CNN	0.95	0.0	2.0	nesterov	10.0	experiment	8.0	0.7006034255027771	./log/batch_log/result_experiment.txt	train_dir	0.6954478621482849	4dd6d5	user	1.0	0.7018390893936157	0.28655003228984405	0.6954308152198792	1600.0						
relu6	64.0		b4c625	13.0	0.2	980.0	['mfcc', 'melspectrogram', 'rmse']	0.55	1.0	16.0	1.0	32.0	1.0	16.0	8.0	1024.0	0.001	1000.0	0.26	CNN	0.95	0.0	1.0	adam	10.0	experiment	8.0	0.9276723861694336	./log/batch_log/result_experiment.txt	train_dir	0.6105096936225891	edc86f	user	1.0	0.9169540405273438	0.6071065147362811	0.6278733611106873	1600.0						
relu	64.0		73ca63	13.0	0.2	957.0	['mfcc', 'melspectrogram', 'rmse']	0.19	0.5	64.0	1.0	8.0	1.0	64.0	8.0	1024.0	0.0001	1000.0	0.19	CNN	0.9	0.0	3.0	rmsprop	10.0	experiment	8.0	0.905143678188324	./log/batch_log/result_experiment.txt	train_dir	0.6245977878570557	177253	user	1.0	0.9095976948738098	0.5770303657168104	0.626498281955719	1600.0						
swish	32.0		a88460	13.0	0.30000000000000004	1.0	['mfcc', 'melspectrogram', 'rmse']	0.74	1.0	64.0	0.5	32.0	0.5	8.0	8.0	1024.0	0.0001	1000.0	0.87	CNN	0.97	0.0	0.0	adadelta	10.0	experiment	8.0	0.4872415959835053	./log/batch_log/result_experiment.txt	train_dir	1.4071798920631409	be10e1	user	2.0	0.5059195160865784	0.18286755783966213	0.861807107925415	1600.0						
swish	32.0		a88460	13.0	0.30000000000000004	991.0	['mfcc', 'melspectrogram', 'rmse']	0.74	1.0	64.0	0.5	32.0	0.5	8.0	8.0	1024.0	0.0001	1000.0	0.87	CNN	0.97	1.0	0.0	adadelta	10.0	experiment	8.0	0.4554607445995013	./log/batch_log/result_experiment.txt	train_dir	1.5830907821655271		user	2.0	0.5006513396898905	0.2013174759055515	1.0744566917419434	1600.0						
swish	64.0		ff9430	13.0	0.5	993.0	['mfcc', 'melspectrogram', 'rmse']	0.18	1.0	8.0	1.0	8.0	2.0	8.0	8.0	1024.0	0.001	1000.0	0.51	CNN	0.99	0.0	2.0	rmsprop	10.0	experiment	8.0	0.915000021457672	./log/batch_log/result_experiment.txt	train_dir	0.62105792760849	e95f4d	user	2.0	0.9182183742523192	0.59665359698363	0.6206470727920532	1600.0						
swish	64.0		ff9430	13.0	0.5	993.0	['mfcc', 'melspectrogram', 'rmse']	0.18	1.0	8.0	1.0	8.0	2.0	8.0	8.0	1024.0	0.001	1000.0	0.51	CNN	0.99	1.0	2.0	rmsprop	10.0	experiment	8.0	0.9107184012730916	./log/batch_log/result_experiment.txt	train_dir	0.6253133217493693		user	2.0	0.9131417671839396	0.586631043530934	0.6258695324261984	1600.0						
relu6	16.0		89701b	13.0	0.6000000000000001	17.0	['mfcc', 'melspectrogram', 'rmse']	0.49	2.0	8.0	0.5	8.0	0.5	16.0	8.0	1024.0	0.001	1000.0	0.32	CNN	0.9	0.0	3.0	adadelta	10.0	experiment	8.0	0.8010625094175339	./log/batch_log/result_experiment.txt	train_dir	0.6931978613138199	29c8f0	user	2.0	0.8002924621105194	0.03823692021458264	0.6931670308113098	1600.0						
relu6	16.0		89701b	13.0	0.6000000000000001	759.0	['mfcc', 'melspectrogram', 'rmse']	0.49	2.0	8.0	0.5	8.0	0.5	16.0	8.0	1024.0	0.001	1000.0	0.32	CNN	0.9	1.0	3.0	adadelta	10.0	experiment	8.0	0.7025277813275655	./log/batch_log/result_experiment.txt	train_dir	0.6951617747545242		user	2.0	0.7384441693623861	0.19042569917489827	0.6947473088900248	1600.0						
relu6	16.0		6158e2	13.0	0.6000000000000001	977.0	['mfcc', 'melspectrogram', 'rmse']	0.5	1.0	64.0	0.5	32.0	0.5	16.0	8.0	1024.0	0.0001	1000.0	0.93	CNN	0.97	0.0	2.0	rmsprop	10.0	experiment	8.0	0.8944374918937683	./log/batch_log/result_experiment.txt	train_dir	0.6345423012971878	400a93	user	2.0	0.8904927968978882	0.7351793203707065	0.6402585208415985	1600.0						
relu6	16.0		6158e2	13.0	0.6000000000000001	995.0	['mfcc', 'melspectrogram', 'rmse']	0.5	1.0	64.0	0.5	32.0	0.5	16.0	8.0	1024.0	0.0001	1000.0	0.93	CNN	0.97	1.0	2.0	rmsprop	10.0	experiment	8.0	0.8582986096541086	./log/batch_log/result_experiment.txt	train_dir	0.6502935588359833		user	2.0	0.8681543767452241	0.5443445319489002	0.6527151266733805	1600.0						
swish	8.0		bdeb7d	13.0	0.5	983.0	['mfcc', 'melspectrogram', 'rmse']	0.82	0.5	32.0	1.0	32.0	2.0	64.0	8.0	1024.0	0.001	1000.0	0.81	CNN	0.97	0.0	1.0	nesterov	10.0	experiment	8.0	0.8924739584326744	./log/batch_log/result_experiment.txt	train_dir	0.6389295756816864	55b51d	user	2.0	0.8862604200839996	0.7492704587315071	0.6759521812200546	1600.0						
swish	8.0		bdeb7d	13.0	0.5	999.0	['mfcc', 'melspectrogram', 'rmse']	0.82	0.5	32.0	1.0	32.0	2.0	64.0	8.0	1024.0	0.001	1000.0	0.81	CNN	0.97	1.0	1.0	nesterov	10.0	experiment	8.0	0.902951387067636	./log/batch_log/result_experiment.txt	train_dir	0.6334794511397679		user	2.0	0.9000208278497059	0.7734609612464568	0.6691178182760874	1600.0						
relu6	8.0		717f71	13.0	0.5	926.0	['mfcc', 'melspectrogram', 'rmse']	0.51	2.0	16.0	1.0	32.0	2.0	32.0	8.0	1024.0	0.0001	1000.0	0.46	CNN	0.9	0.0	3.0	adam	10.0	experiment	8.0	0.9641406238079072	./log/batch_log/result_experiment.txt	train_dir	0.5863230302929878	fab987	user	0.0	0.9573333263397216	0.8854107432134727	0.5978109091520311	1600.0						
swish	64.0		8f8bde	13.0	0.2	995.0	['mfcc', 'melspectrogram', 'rmse']	0.2	0.5	32.0	0.5	64.0	1.0	32.0	8.0	1024.0	0.0001	1000.0	0.16	CNN	0.97	0.0	1.0	rmsprop	10.0	experiment	8.0	0.9569739550352095	./log/batch_log/result_experiment.txt	train_dir	0.593421995639801	58da3e	user	0.0	0.9562299847602844	0.88271701264865	0.6004011332988739	1600.0						
relu	16.0		b27a18	13.0	0.6000000000000001	992.0	['mfcc', 'melspectrogram', 'rmse']	0.53	2.0	32.0	1.0	16.0	2.0	8.0	8.0	1024.0	0.0001	1000.0	0.14	CNN	0.99	0.0	0.0	rmsprop	10.0	experiment	8.0	0.9130364507436752	./log/batch_log/result_experiment.txt	train_dir	0.6203562468290329	771c44	user	0.0	0.9049639403820038	0.5353304791863029	0.6384690999984741	1600.0						
relu	8.0		7a0959	13.0	0.4	966.0	['mfcc', 'melspectrogram', 'rmse']	0.89	1.0	32.0	0.5	8.0	2.0	32.0	8.0	1024.0	0.0001	1000.0	0.42	CNN	0.9	0.0	0.0	rmsprop	10.0	experiment	8.0	0.8885416761040688	./log/batch_log/result_experiment.txt	train_dir	0.6343496963381767	9f003c	user	0.0	0.8870312571525574	0.30197510062716465	0.6497447043657303	1600.0						
relu6	32.0		31df6a	13.0	0.5	13.0	['mfcc', 'melspectrogram', 'rmse']	0.14	2.0	64.0	2.0	32.0	0.5	8.0	8.0	1024.0	0.01	1000.0	0.94	CNN	0.97	0.0	1.0	rmsprop	10.0	experiment	8.0	0.8040104135870934	./log/batch_log/result_experiment.txt	train_dir	0.6877732947468758	957652	user	0.0	0.8620416671037674	0.4253249169512279	0.6803129613399506	1600.0						
swish	64.0		956323	13.0	0.4	122.0	['mfcc', 'melspectrogram', 'rmse']	0.71	2.0	8.0	1.0	16.0	0.5	64.0	8.0	1024.0	0.01	1000.0	0.9	CNN	0.99	0.0	3.0	rmsprop	10.0	experiment	8.0	0.8197126388549805	./log/batch_log/result_experiment.txt	train_dir	0.6914586424827576	666291	user	0.0	0.7898850440979004	0.3519856761675461	0.6904914379119873	1600.0						
relu6	32.0		ef55a0	13.0	0.7000000000000002	962.0	['mfcc', 'melspectrogram', 'rmse']	0.09	1.0	8.0	2.0	64.0	0.5	8.0	8.0	1024.0	0.0001	1000.0	0.95	CNN	0.95	0.0	3.0	rmsprop	10.0	experiment	8.0	0.8923838138580322	./log/batch_log/result_experiment.txt	train_dir	0.639176070690155	55f8c2	user	0.0	0.8993678092956543	0.5486221491527391	0.6344397664070129	1600.0						
swish	16.0		ec542a	13.0	0.30000000000000004	908.0	['mfcc', 'melspectrogram', 'rmse']	0.77	0.5	8.0	1.0	64.0	0.5	8.0	8.0	1024.0	0.001	1000.0	0.22	CNN	0.97	0.0	1.0	adam	10.0	experiment	8.0	0.9603854119777679	./log/batch_log/result_experiment.txt	train_dir	0.5895366370677948	528293	user	0.0	0.95138218998909	0.8809666378175791	0.6449114382266998	1600.0						
swish	64.0		648c25	13.0	0.7000000000000002	994.0	['mfcc', 'melspectrogram', 'rmse']	0.9	1.0	64.0	2.0	64.0	1.0	8.0	8.0	1024.0	0.0001	1000.0	0.71	CNN	0.99	0.0	3.0	rmsprop	10.0	experiment	8.0	0.885172426700592	./log/batch_log/result_experiment.txt	train_dir	0.6414927840232849	09261c	user	0.0	0.8886781334877014	0.5356344260120487	0.6491124629974365	1600.0						
relu	8.0		154ed9	13.0	0.7000000000000002	10.0	['mfcc', 'melspectrogram', 'rmse']	0.68	2.0	16.0	2.0	64.0	0.5	32.0	8.0	1024.0	0.01	1000.0	0.81	CNN	0.99	0.0	2.0	rmsprop	10.0	experiment	8.0	0.8063541650772095	./log/batch_log/result_experiment.txt	train_dir	0.6924188137054443	6107c5	user	0.0	0.7714062482118607	0.3195375176970269	0.692317008972168	1600.0						
relu6	8.0		717f71	13.0	0.5	991.0	['mfcc', 'melspectrogram', 'rmse']	0.51	2.0	16.0	1.0	32.0	2.0	32.0	8.0	1024.0	0.0001	1000.0	0.46	CNN	0.9	0.0	3.0	adam	10.0	experiment	8.0	0.9715625122189522	./log/batch_log/result_experiment.txt	train_dir	0.5839498192071915	2c7de5	user	1.0	0.9632812589406968	0.9108653013495124	0.5994255393743515	1600.0						
swish	64.0		8f8bde	13.0	0.2	993.0	['mfcc', 'melspectrogram', 'rmse']	0.2	0.5	32.0	0.5	64.0	1.0	32.0	8.0	1024.0	0.0001	1000.0	0.16	CNN	0.97	0.0	1.0	rmsprop	10.0	experiment	8.0	0.9656302183866501	./log/batch_log/result_experiment.txt	train_dir	0.5838675945997238	69f3cf	user	1.0	0.9598317146301272	0.9040664610724454	0.5946452021598816	1600.0						
relu	16.0		b27a18	13.0	0.6000000000000001	970.0	['mfcc', 'melspectrogram', 'rmse']	0.53	2.0	32.0	1.0	16.0	2.0	8.0	8.0	1024.0	0.0001	1000.0	0.14	CNN	0.99	0.0	0.0	rmsprop	10.0	experiment	8.0	0.8473801910877228	./log/batch_log/result_experiment.txt	train_dir	0.6623220890760422	8e87f0	user	1.0	0.8473277091979979	0.30577777777777776	0.6643556654453278	1600.0						
relu	8.0		7a0959	13.0	0.4	976.0	['mfcc', 'melspectrogram', 'rmse']	0.89	1.0	32.0	0.5	8.0	2.0	32.0	8.0	1024.0	0.0001	1000.0	0.42	CNN	0.9	0.0	0.0	rmsprop	10.0	experiment	8.0	0.9474479183554648	./log/batch_log/result_experiment.txt	train_dir	0.599223680794239	ccdee4	user	1.0	0.9389166682958604	0.8422697211291221	0.6684790998697281	1600.0						
swish	16.0		ec542a	13.0	0.30000000000000004	709.0	['mfcc', 'melspectrogram', 'rmse']	0.77	0.5	8.0	1.0	64.0	0.5	8.0	8.0	1024.0	0.001	1000.0	0.22	CNN	0.97	0.0	1.0	adam	10.0	experiment	8.0	0.8841666579246521	./log/batch_log/result_experiment.txt	train_dir	0.6382744610309601	68ae0c	user	1.0	0.8813020884990692	0.6244518892593499	0.6618389785289764	1600.0						
relu6	32.0		ef55a0	13.0	0.7000000000000002	989.0	['mfcc', 'melspectrogram', 'rmse']	0.09	1.0	8.0	2.0	64.0	0.5	8.0	8.0	1024.0	0.0001	1000.0	0.95	CNN	0.95	0.0	3.0	rmsprop	10.0	experiment	8.0	0.8990324437618256	./log/batch_log/result_experiment.txt	train_dir	0.6347940564155579	5bef38	user	1.0	0.9088505506515504	0.5767912409905589	0.6303774118423462	1600.0						
swish	64.0		8f8bde	13.0	0.2	956.0	['mfcc', 'melspectrogram', 'rmse']	0.2	0.5	32.0	0.5	64.0	1.0	32.0	8.0	1024.0	0.0001	1000.0	0.16	CNN	0.97	0.0	1.0	rmsprop	10.0	experiment	8.0	0.9229427129030228	./log/batch_log/result_experiment.txt	train_dir	0.6130886375904083	7826df	user	2.0	0.9171354174613952	0.6060409508541421	0.6237477660179138	1600.0						
swish	64.0		8f8bde	13.0	0.2	995.0	['mfcc', 'melspectrogram', 'rmse']	0.2	0.5	32.0	0.5	64.0	1.0	32.0	8.0	1024.0	0.0001	1000.0	0.16	CNN	0.97	1.0	1.0	rmsprop	10.0	experiment	8.0	0.9485156287749608	./log/batch_log/result_experiment.txt	train_dir	0.5967927426099777		user	2.0	0.9443990389506022	0.7976081415250792	0.6062647004922231	1600.0						
relu6	8.0		717f71	13.0	0.5	996.0	['mfcc', 'melspectrogram', 'rmse']	0.51	2.0	16.0	1.0	32.0	2.0	32.0	8.0	1024.0	0.0001	1000.0	0.46	CNN	0.9	0.0	3.0	adam	10.0	experiment	8.0	0.9651562422513962	./log/batch_log/result_experiment.txt	train_dir	0.5858712047338486	62d4f1	user	2.0	0.9584166556596756	0.893913299856827	0.5988192707300186	1600.0						
relu6	8.0		717f71	13.0	0.5	996.0	['mfcc', 'melspectrogram', 'rmse']	0.51	2.0	16.0	1.0	32.0	2.0	32.0	8.0	1024.0	0.0001	1000.0	0.46	CNN	0.9	1.0	3.0	adam	10.0	experiment	8.0	0.9669531260927521	./log/batch_log/result_experiment.txt	train_dir	0.5853813514113426		user	2.0	0.9596770803133646	0.8967297814732706	0.5986852397521337	1600.0						
relu	16.0		b27a18	13.0	0.6000000000000001	999.0	['mfcc', 'melspectrogram', 'rmse']	0.53	2.0	32.0	1.0	16.0	2.0	8.0	8.0	1024.0	0.0001	1000.0	0.14	CNN	0.99	0.0	0.0	rmsprop	10.0	experiment	8.0	0.944312497973442	./log/batch_log/result_experiment.txt	train_dir	0.6038181632757187	9be449	user	2.0	0.9372676312923433	0.8215842887172361	0.6192818880081177	1600.0						
relu	16.0		b27a18	13.0	0.6000000000000001	999.0	['mfcc', 'melspectrogram', 'rmse']	0.53	2.0	32.0	1.0	16.0	2.0	8.0	8.0	1024.0	0.0001	1000.0	0.14	CNN	0.99	1.0	0.0	rmsprop	10.0	experiment	8.0	0.9015763799349468	./log/batch_log/result_experiment.txt	train_dir	0.6288321663935981		user	2.0	0.8965197602907816	0.5542308485604389	0.6407022178173065	1600.0						
swish	16.0		ec542a	13.0	0.30000000000000004	954.0	['mfcc', 'melspectrogram', 'rmse']	0.77	0.5	8.0	1.0	64.0	0.5	8.0	8.0	1024.0	0.001	1000.0	0.22	CNN	0.97	0.0	1.0	adam	10.0	experiment	8.0	0.9655572921037674	./log/batch_log/result_experiment.txt	train_dir	0.5843932181596756	59f672	user	2.0	0.955008029937744	0.8860238664500217	0.6286062598228455	1600.0						
swish	16.0		ec542a	13.0	0.30000000000000004	954.0	['mfcc', 'melspectrogram', 'rmse']	0.77	0.5	8.0	1.0	64.0	0.5	8.0	8.0	1024.0	0.001	1000.0	0.22	CNN	0.97	1.0	1.0	adam	10.0	experiment	8.0	0.9367031206687292	./log/batch_log/result_experiment.txt	train_dir	0.6040681054194769		user	2.0	0.9292307694753013	0.7971474645089835	0.6451188921928406	1600.0						
relu6	32.0		ef55a0	13.0	0.7000000000000002	995.0	['mfcc', 'melspectrogram', 'rmse']	0.09	1.0	8.0	2.0	64.0	0.5	8.0	8.0	1024.0	0.0001	1000.0	0.95	CNN	0.95	0.0	3.0	rmsprop	10.0	experiment	8.0	0.9006109535694122	./log/batch_log/result_experiment.txt	train_dir	0.6343075037002563	a45f14	user	2.0	0.9010919332504272	0.5590188081341387	0.6353051662445068	1600.0						
relu6	32.0		ef55a0	13.0	0.7000000000000002	995.0	['mfcc', 'melspectrogram', 'rmse']	0.09	1.0	8.0	2.0	64.0	0.5	8.0	8.0	1024.0	0.0001	1000.0	0.95	CNN	0.95	1.0	3.0	rmsprop	10.0	experiment	8.0	0.8973424037297567	./log/batch_log/result_experiment.txt	train_dir	0.6360925436019897		user	2.0	0.9031034310658772	0.5614773994258123	0.6333741148312887	1600.0						
relu6	32.0		a25b0a	13.0	0.2	1481.0	['mfcc', 'melspectrogram', 'rmse']	0.31	0.5	64.0	2.0	16.0	0.5	32.0	8.0	1024.0	0.0001	1500.0	0.58	CNN	0.97	0.0	2.0	rmsprop	10.0	experiment	8.0	0.9667608141899108	./log/batch_log/result_experiment.txt	train_dir	0.5848307609558105	d90f3a	user	0.0	0.9534482955932616	0.8758368561087927	0.6014454960823059	1600.0						
relu6	16.0		1729ea	13.0	0.2	26.0	['mfcc', 'melspectrogram', 'rmse']	0.36	2.0	32.0	0.5	64.0	0.5	32.0	8.0	1024.0	0.01	1500.0	0.19	CNN	0.95	0.0	2.0	rmsprop	10.0	experiment	8.0	0.7993697971105576	./log/batch_log/result_experiment.txt	train_dir	0.6926095485687256	9c622d	user	0.0	0.8166025578975677	0.2692704318481594	0.691934198141098	1600.0						
relu	16.0		cb3d1c	13.0	0.7000000000000002	999.0	['mfcc', 'melspectrogram', 'rmse']	0.61	1.0	8.0	1.0	32.0	0.5	32.0	8.0	1024.0	0.001	1000.0	0.92	CNN	0.95	0.0	0.0	rmsprop	10.0	experiment	8.0	0.908500000834465	./log/batch_log/result_experiment.txt	train_dir	0.6275968104600906	a8404e	user	0.0	0.9187860488891602	0.6009405821290911	0.6231130957603455	1600.0						
relu6	8.0		221b01	13.0	0.4	1152.0	['mfcc', 'melspectrogram', 'rmse']	0.18	2.0	64.0	2.0	32.0	0.5	32.0	8.0	1024.0	0.0001	1500.0	0.66	CNN	0.9	0.0	1.0	adam	10.0	experiment	8.0	0.9785677045583724	./log/batch_log/result_experiment.txt	train_dir	0.5758446455001831	9184fa	user	0.0	0.968072921037674	0.9268995521475502	0.5939612984657288	1600.0						
relu6	8.0		0d7384	13.0	0.30000000000000004	0.0	['mfcc', 'melspectrogram', 'rmse']	0.65	1.0	64.0	2.0	8.0	0.5	64.0	8.0	1024.0	0.01	1500.0	0.16	CNN	0.95	0.0	2.0	adam	10.0	experiment	8.0	0.7788802161812782	./log/batch_log/result_experiment.txt	train_dir	0.6935345306992531	965911	user	0.0	0.8022812306880951	0.0	0.6931471675634384	1600.0						
swish	16.0		4ef7cf	13.0	0.30000000000000004	989.0	['mfcc', 'melspectrogram', 'rmse']	0.8	2.0	64.0	0.5	16.0	0.5	16.0	8.0	1024.0	0.0001	1000.0	0.61	CNN	0.9	0.0	3.0	rmsprop	10.0	experiment	8.0	0.880817711353302	./log/batch_log/result_experiment.txt	train_dir	0.6449288576841354	6d3e82	user	0.0	0.8857772648334503	0.29797265440829795	0.6424230933189392	1600.0						
